Role,Experience,Experience_Years,AI_Tools_Used,Num_AI_Tools,AI_Use_Frequency,AI_Use_Frequency_Score,Tech_Comfort,Tech_Comfort_Score,AI_Understanding,AI_Understanding_Score,AI_Training,AI_Training_Score,Trans_1,Trans_2,Trans_3,Trans_4,Trans_5,Trans_6,Trans_7,Trans_8,Trans_9,Trans_10,Trust_1,Trust_2,Trust_3,Trust_4,Trust_5,Trust_6,Trust_7,Trust_8,Trust_9,Trust_10,Disclose_1,Disclose_2,Disclose_3,Disclose_4,Disclose_5,Disclose_6,Disclose_7,Disclose_8,Disclose_9,Disclose_10,Transparency_Score,Limitation_Disclosure_Score,Trust_In_Transparent_Systems,General_Trust_Score,Disclosure_Preference,AI_Understanding_Group
Emergency Department Nurse,16-20 years,18.0,"Clinical decision support systems, EHR with embedded AI, Computerized triage systems",3,Occasionally,2,Somewhat uncomfortable,2,Moderate understanding,3,Moderate training,3,4,4,3,2,5,1,3,3,4,4,2,1,3,1,2,4,4,3,4,2,5,4,4,5,4,4,5,5,4,4,3.7777777777777777,4.4,3.3745833333333337,2.6666666666666665,High Preference,High Understanding
Emergency Department Administrator,16-20 years,18.0,"Clinical decision support systems, AI-based diagnostic tools",2,Never,0,Somewhat uncomfortable,2,No understanding,1,Brief introduction/overview,2,3,3,3,4,4,1,4,3,3,3,1,2,3,2,2,3,3,3,4,3,5,4,4,4,4,4,4,4,4,3,3.3333333333333335,4.0,2.77125,2.4444444444444446,High Preference,Low Understanding
Emergency Department Triage Nurse,6-10 years,8.0,"EHR with embedded AI, Clinical decision support systems, Automated risk scoring systems, AI-based diagnostic tools",4,Frequently,4,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,3,4,4,3,4,3,5,3,4,4,4,4,3,4,3,4,3,4,2,3,5,5,5,5,4,5,5,5,1,5,3.7777777777777777,4.8,3.6445833333333337,3.5555555555555554,High Preference,High Understanding
Emergency Department Nurse,1-5 years,3.0,"AI-based diagnostic tools, Automated risk scoring systems",2,Occasionally,2,Neutral,3,Good understanding,4,Specialized training/expertise,5,4,2,5,4,4,4,4,4,3,4,3,3,4,4,3,3,5,5,2,4,5,5,5,5,5,5,5,3,4,4,3.7777777777777777,4.8,4.827916666666667,3.7777777777777777,High Preference,High Understanding
Emergency Medicine Physician,1-5 years,3.0,"Automated risk scoring systems, AI-based diagnostic tools, Clinical decision support systems, EHR with embedded AI",4,Regularly,3,Very comfortable,5,Good understanding,4,Specialized training/expertise,5,4,5,5,4,4,4,2,3,5,5,4,5,5,3,3,4,4,5,3,5,4,5,5,3,2,4,4,5,4,5,4.111111111111111,4.6,4.867916666666668,4.222222222222222,High Preference,High Understanding
Emergency Medicine Physician,6-10 years,8.0,Automated risk scoring systems,1,Rarely,1,Somewhat comfortable,4,Limited understanding,2,Brief introduction/overview,2,4,3,3,3,3,1,3,4,4,3,3,2,3,2,3,3,4,3,5,3,5,5,4,4,4,3,4,4,5,5,3.3333333333333335,4.3,3.4445833333333336,2.888888888888889,High Preference,Low Understanding
Emergency Medicine Physician,16-20 years,18.0,Computerized triage systems,1,Never,0,Very uncomfortable,1,No understanding,1,No training,1,5,3,3,4,3,1,4,3,3,1,2,2,3,1,1,1,3,4,3,2,4,4,4,4,4,4,4,4,3,4,3.2222222222222223,3.9,2.6579166666666665,1.8888888888888888,High Preference,Low Understanding
Physician Assistant in Emergency Department,16-20 years,18.0,Computerized triage systems,1,Never,0,Very uncomfortable,1,Limited understanding,2,Moderate training,3,3,3,4,3,2,2,3,2,4,4,4,3,3,1,1,2,4,3,3,1,5,4,4,5,5,5,4,5,4,4,3.111111111111111,4.5,3.3545833333333337,2.3333333333333335,High Preference,Low Understanding
Emergency Department Triage Nurse,Less than 1 year,0.5,Automated risk scoring systems,1,Rarely,1,Somewhat uncomfortable,2,No understanding,1,Brief introduction/overview,2,3,3,3,4,5,1,3,3,2,5,1,1,3,5,3,2,3,3,3,1,4,4,4,4,4,5,4,5,4,5,3.4444444444444446,4.3,3.1612500000000003,2.4444444444444446,High Preference,Low Understanding
Emergency Department Triage Nurse,6-10 years,8.0,"Computerized triage systems, EHR with embedded AI",2,Occasionally,2,Somewhat uncomfortable,2,Good understanding,4,Comprehensive training,4,3,4,3,4,5,3,4,3,3,4,2,3,3,4,3,2,3,3,3,4,5,1,4,5,5,5,4,4,5,4,3.3333333333333335,4.5,3.2212500000000004,3.0,High Preference,High Understanding
Emergency Medicine Physician,6-10 years,8.0,None of the above,0,Never,0,Somewhat uncomfortable,2,No understanding,1,No training,1,4,3,4,4,3,1,4,4,3,4,2,2,4,1,1,2,4,3,4,3,5,4,5,5,5,4,4,4,5,5,3.6666666666666665,4.6,3.8679166666666664,2.4444444444444446,High Preference,Low Understanding
Emergency Department Administrator,1-5 years,3.0,"Automated risk scoring systems, Computerized triage systems, Clinical decision support systems, AI-based diagnostic tools",4,Regularly,3,Neutral,3,Excellent understanding,5,Specialized training/expertise,5,4,4,3,4,3,5,4,5,4,3,2,3,4,2,3,3,4,5,1,3,4,4,4,4,5,4,5,4,4,4,3.7777777777777777,4.2,4.164583333333334,3.2222222222222223,High Preference,High Understanding
Physician Assistant in Emergency Department,1-5 years,3.0,"Clinical decision support systems, AI-based diagnostic tools, Computerized triage systems",3,Occasionally,2,Neutral,3,Moderate understanding,3,Brief introduction/overview,2,4,4,4,3,4,2,4,2,5,4,3,3,3,3,2,4,3,5,2,2,4,5,5,4,5,3,5,5,5,4,3.888888888888889,4.7,3.747916666666667,3.111111111111111,High Preference,High Understanding
Emergency Medicine Physician,6-10 years,8.0,"Computerized triage systems, AI-based diagnostic tools, EHR with embedded AI",3,Never,0,Very uncomfortable,1,No understanding,1,No training,1,4,4,3,4,4,1,3,4,5,3,3,1,3,2,2,3,3,3,4,1,4,4,5,4,4,4,4,4,3,3,3.7777777777777777,3.9,2.99125,2.3333333333333335,High Preference,Low Understanding
Emergency Medicine Physician,More than 20 years,25.0,Automated risk scoring systems,1,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,3,3,4,4,1,3,3,4,4,2,1,2,2,1,1,2,3,4,1,4,4,5,4,5,5,3,5,4,4,3.4444444444444446,4.3,2.4445833333333336,1.6666666666666667,High Preference,Low Understanding
Emergency Medicine Physician,6-10 years,8.0,"Automated risk scoring systems, EHR with embedded AI",2,Regularly,3,Somewhat comfortable,4,Good understanding,4,Comprehensive training,4,5,3,4,4,3,2,3,4,4,4,4,3,3,3,3,3,3,4,2,5,5,4,4,3,4,5,5,3,5,4,3.7777777777777777,4.2,3.4145833333333337,3.4444444444444446,High Preference,High Understanding
Emergency Department Nurse,6-10 years,8.0,"Clinical decision support systems, Computerized triage systems, EHR with embedded AI, Automated risk scoring systems",4,Frequently,4,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,4,5,3,4,4,3,5,4,3,5,3,3,3,4,4,5,3,3,3,3,2,4,5,5,4,4,4,3,4,4,4.111111111111111,4.1,2.95125,3.3333333333333335,High Preference,High Understanding
Emergency Department Nurse,11-15 years,13.0,"Computerized triage systems, EHR with embedded AI, Clinical decision support systems",3,Occasionally,2,Neutral,3,Good understanding,4,Comprehensive training,4,4,3,4,3,4,3,3,3,3,5,3,2,3,4,3,3,3,4,3,3,5,4,5,5,4,4,5,4,5,5,3.5555555555555554,4.6,3.4345833333333333,3.111111111111111,High Preference,High Understanding
Emergency Department Nurse,6-10 years,8.0,"Clinical decision support systems, AI-based diagnostic tools",2,Occasionally,2,Neutral,3,Moderate understanding,3,Comprehensive training,4,4,3,4,3,3,3,5,3,3,4,2,3,3,3,2,3,3,4,2,4,5,5,4,5,5,5,4,5,4,5,3.5555555555555554,4.7,3.4645833333333336,3.0,High Preference,High Understanding
Emergency Department Nurse,More than 20 years,25.0,"AI-based diagnostic tools, Clinical decision support systems, Computerized triage systems, Automated risk scoring systems",4,Frequently,4,Somewhat comfortable,4,Excellent understanding,5,Comprehensive training,4,4,3,4,3,5,3,5,3,3,3,3,3,3,1,3,3,3,5,2,3,3,3,5,5,5,4,5,4,5,4,3.6666666666666665,4.1,2.95125,2.7777777777777777,High Preference,High Understanding
Emergency Department Triage Nurse,More than 20 years,25.0,"Clinical decision support systems, Computerized triage systems, AI-based diagnostic tools",3,Frequently,4,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,2,5,4,3,4,5,4,5,4,4,5,4,4,3,1,3,4,4,2,4,5,5,5,4,4,5,4,3,5,4,4.111111111111111,4.4,4.19125,3.5555555555555554,High Preference,High Understanding
Emergency Medicine Physician,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,4,4,4,3,4,1,3,4,3,2,2,2,4,1,2,2,4,4,5,2,4,5,5,5,4,5,4,5,4,5,3.4444444444444446,4.6,4.20125,2.5555555555555554,High Preference,Low Understanding
Emergency Department Nurse,6-10 years,8.0,None of the above,0,Never,0,Somewhat uncomfortable,2,Limited understanding,2,Brief introduction/overview,2,4,3,4,4,4,1,4,5,2,3,1,1,3,2,3,3,2,3,4,2,4,4,1,5,4,4,5,5,5,4,3.6666666666666665,4.4,2.7079166666666667,2.2222222222222223,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,Brief introduction/overview,2,4,3,3,4,4,1,3,3,4,3,2,1,3,5,1,1,2,3,4,4,3,3,4,5,4,5,4,4,4,4,3.4444444444444446,4.0,2.5879166666666666,2.4444444444444446,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,Clinical decision support systems,1,Never,0,Somewhat uncomfortable,2,No understanding,1,No training,1,4,3,4,4,4,1,3,3,3,3,2,3,3,2,1,3,3,4,4,1,4,4,5,4,5,1,5,4,5,5,3.4444444444444446,4.6,3.4345833333333333,2.4444444444444446,High Preference,Low Understanding
Emergency Department Triage Nurse,Less than 1 year,0.5,None of the above,0,Never,0,Somewhat uncomfortable,2,Limited understanding,2,Moderate training,3,4,5,4,4,3,2,4,3,4,4,4,1,4,2,1,2,4,5,3,3,4,5,1,4,4,5,4,4,4,5,3.888888888888889,4.4,2.0,2.7777777777777777,High Preference,Low Understanding
Emergency Medicine Physician,11-15 years,13.0,Automated risk scoring systems,1,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,4,3,3,4,1,3,2,5,3,3,1,4,3,1,2,5,4,4,2,2,4,5,4,5,4,5,4,4,3,3.3333333333333335,4.2,2.747916666666667,2.2222222222222223,High Preference,Low Understanding
Emergency Department Nurse,6-10 years,8.0,None of the above,0,Never,0,Neutral,3,Limited understanding,2,Moderate training,3,5,4,4,2,3,1,4,3,3,4,2,3,5,3,1,3,4,3,5,3,5,4,4,5,5,5,5,4,5,4,3.5555555555555554,4.6,4.101249999999999,3.0,High Preference,Low Understanding
Emergency Department Nurse,Less than 1 year,0.5,"EHR with embedded AI, Clinical decision support systems, Computerized triage systems, AI-based diagnostic tools",4,Regularly,3,Neutral,3,Good understanding,4,Comprehensive training,4,3,4,3,3,3,3,3,4,2,4,2,4,2,4,2,3,3,5,1,3,4,5,4,5,5,5,5,5,4,4,3.2222222222222223,4.6,2.7679166666666664,2.888888888888889,High Preference,High Understanding
Emergency Medicine Physician,1-5 years,3.0,"Automated risk scoring systems, Computerized triage systems",2,Rarely,1,Very uncomfortable,1,Limited understanding,2,Comprehensive training,4,5,4,3,3,4,2,4,4,3,3,1,2,4,3,1,2,4,2,4,1,4,5,5,5,4,3,4,3,5,4,3.6666666666666665,4.2,3.0,2.2222222222222223,High Preference,Low Understanding
Emergency Department Triage Nurse,More than 20 years,25.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,5,3,2,3,4,1,4,2,4,3,2,1,3,4,1,1,2,3,4,2,4,3,3,3,4,5,5,3,3,4,3.111111111111111,3.9,2.7079166666666667,2.111111111111111,High Preference,Low Understanding
Emergency Medicine Physician,1-5 years,3.0,None of the above,0,Never,0,Somewhat uncomfortable,2,No understanding,1,No training,1,3,3,5,4,4,1,3,4,5,4,2,3,4,1,2,2,5,4,4,1,5,4,5,5,4,5,5,4,5,5,3.888888888888889,4.6,4.534583333333334,2.6666666666666665,High Preference,Low Understanding
Emergency Medicine Physician,1-5 years,3.0,"Computerized triage systems, Clinical decision support systems, AI-based diagnostic tools",3,Occasionally,2,Somewhat comfortable,4,Good understanding,4,Comprehensive training,4,4,4,3,5,4,3,4,3,3,4,4,5,4,4,2,3,3,3,2,4,4,4,4,5,5,4,4,4,5,4,3.7777777777777777,4.2,3.4145833333333337,3.5555555555555554,High Preference,High Understanding
Nurse Practitioner in Emergency Department,6-10 years,8.0,"Automated risk scoring systems, Clinical decision support systems, AI-based diagnostic tools, Computerized triage systems",4,Frequently,4,Very comfortable,5,Good understanding,4,Comprehensive training,4,3,4,3,2,5,1,4,4,4,3,4,4,4,2,4,3,2,4,4,4,4,4,4,4,5,3,5,4,4,4,3.888888888888889,4.2,3.364583333333334,3.4444444444444446,High Preference,High Understanding
Emergency Department Administrator,More than 20 years,25.0,"Clinical decision support systems, Computerized triage systems, EHR with embedded AI, Automated risk scoring systems",4,Frequently,4,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,4,4,3,4,4,4,4,5,3,3,4,4,2,4,3,4,4,2,1,5,5,4,4,3,5,4,4,5,5,5,3.7777777777777777,4.4,2.557916666666667,3.4444444444444446,High Preference,High Understanding
Physician Assistant in Emergency Department,1-5 years,3.0,"Computerized triage systems, Automated risk scoring systems, Clinical decision support systems",3,Occasionally,2,Somewhat uncomfortable,2,No understanding,1,Brief introduction/overview,2,3,4,4,5,5,1,3,4,4,3,2,1,3,1,2,1,4,3,5,3,5,4,5,5,4,5,5,4,5,5,3.888888888888889,4.7,3.4145833333333337,2.2222222222222223,High Preference,Low Understanding
Emergency Department Nurse,11-15 years,13.0,Automated risk scoring systems,1,Occasionally,2,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,4,4,4,4,4,4,4,4,5,3,3,3,4,1,2,4,4,3,2,4,4,5,2,5,4,5,5,5,5,5,4.0,4.8,3.8279166666666664,3.3333333333333335,High Preference,High Understanding
Emergency Medicine Physician,11-15 years,13.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,2,3,4,3,2,1,5,3,2,3,3,2,4,1,2,1,5,4,4,2,4,5,5,2,5,5,4,5,4,5,3.0,4.7,4.564583333333333,2.6666666666666665,High Preference,Low Understanding
Emergency Department Triage Nurse,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,4,3,3,4,1,3,2,4,3,1,2,3,3,1,1,3,2,5,1,4,5,4,4,3,5,5,5,3,4,3.2222222222222223,4.2,2.464583333333334,1.7777777777777777,High Preference,Low Understanding
Emergency Department Nurse,11-15 years,13.0,"Automated risk scoring systems, EHR with embedded AI, Computerized triage systems",3,Occasionally,2,Somewhat comfortable,4,Good understanding,4,Specialized training/expertise,5,2,2,4,4,4,4,3,3,1,1,3,4,4,4,3,3,5,2,1,3,4,5,4,5,5,5,4,4,5,4,3.3333333333333335,4.5,3.7379166666666666,3.4444444444444446,High Preference,High Understanding
Emergency Medicine Physician,6-10 years,8.0,"EHR with embedded AI, AI-based diagnostic tools, Computerized triage systems, Automated risk scoring systems",4,Regularly,3,Somewhat comfortable,4,Excellent understanding,5,Specialized training/expertise,5,3,4,3,3,5,4,4,4,5,4,5,4,3,2,3,4,3,3,3,5,5,4,5,4,4,5,4,4,3,3,3.888888888888889,4.1,3.05125,3.5555555555555554,High Preference,High Understanding
Emergency Department Nurse,11-15 years,13.0,"Clinical decision support systems, EHR with embedded AI",2,Never,0,Very uncomfortable,1,Limited understanding,2,Moderate training,3,4,4,5,4,4,1,4,3,4,4,2,1,4,2,2,2,5,5,2,3,5,5,5,4,5,4,5,4,5,5,4.0,4.7,4.797916666666667,2.888888888888889,High Preference,Low Understanding
Emergency Medicine Physician,11-15 years,13.0,"EHR with embedded AI, AI-based diagnostic tools, Clinical decision support systems",3,Regularly,3,Neutral,3,Limited understanding,2,Brief introduction/overview,2,4,4,3,4,4,2,4,4,4,4,2,3,4,1,1,3,3,4,4,2,5,5,3,4,4,2,3,3,5,5,3.888888888888889,4.2,3.747916666666667,2.5555555555555554,High Preference,Low Understanding
Nurse Practitioner in Emergency Department,6-10 years,8.0,EHR with embedded AI,1,Occasionally,2,Neutral,3,Limited understanding,2,No training,1,4,2,4,4,3,2,4,4,3,4,2,2,5,1,1,2,4,4,1,3,5,4,5,5,4,5,4,5,5,5,3.5555555555555554,4.7,4.5145833333333325,2.6666666666666665,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,None of the above,0,Never,0,Neutral,3,No understanding,1,Brief introduction/overview,2,3,5,4,4,4,1,4,4,4,3,2,2,4,1,2,1,3,4,4,2,5,5,3,5,5,5,5,5,5,5,4.0,4.8,3.8279166666666664,2.3333333333333335,High Preference,Low Understanding
Emergency Department Triage Nurse,16-20 years,18.0,Clinical decision support systems,1,Rarely,1,Neutral,3,Moderate understanding,3,Specialized training/expertise,5,4,4,4,4,3,2,2,3,3,4,4,3,3,2,1,2,4,4,3,4,5,5,5,4,4,4,5,5,5,5,3.6666666666666665,4.8,4.31125,3.111111111111111,High Preference,High Understanding
Emergency Department Nurse,6-10 years,8.0,None of the above,0,Never,0,Somewhat uncomfortable,2,Limited understanding,2,Brief introduction/overview,2,4,4,3,4,3,2,4,4,4,4,1,4,2,5,2,2,2,2,4,3,5,4,5,4,4,4,4,3,4,4,3.7777777777777777,4.1,1.9512500000000002,2.5555555555555554,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,"AI-based diagnostic tools, Automated risk scoring systems, EHR with embedded AI, Computerized triage systems",4,Regularly,3,Somewhat comfortable,4,Moderate understanding,3,Moderate training,3,3,3,4,3,4,3,4,4,4,3,4,5,4,3,1,3,4,4,3,5,4,4,4,5,4,3,5,5,5,4,3.5555555555555554,4.3,4.01125,3.6666666666666665,High Preference,High Understanding
Emergency Department Nurse,Less than 1 year,0.5,"Clinical decision support systems, Automated risk scoring systems, AI-based diagnostic tools, EHR with embedded AI",4,Regularly,3,Neutral,3,Good understanding,4,Comprehensive training,4,5,4,4,2,5,3,4,3,4,2,2,4,4,2,3,2,4,4,2,2,4,5,4,3,5,5,5,5,5,5,3.6666666666666665,4.6,4.101249999999999,3.0,High Preference,High Understanding
Emergency Medicine Physician,11-15 years,13.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,4,3,3,4,4,1,5,4,3,3,1,2,3,1,1,1,2,3,3,1,4,4,5,4,5,4,5,5,3,5,3.6666666666666665,4.4,2.0,1.6666666666666667,High Preference,Low Understanding
Emergency Department Administrator,11-15 years,13.0,"EHR with embedded AI, Automated risk scoring systems, Clinical decision support systems",3,Regularly,3,Somewhat comfortable,4,Moderate understanding,3,Comprehensive training,4,4,3,4,3,3,1,4,4,5,5,3,4,4,4,2,3,4,3,4,3,5,5,4,5,5,5,5,5,4,5,3.888888888888889,4.8,5.0,3.3333333333333335,High Preference,High Understanding
Emergency Department Triage Nurse,Less than 1 year,0.5,"AI-based diagnostic tools, Automated risk scoring systems, Clinical decision support systems, Computerized triage systems",4,Regularly,3,Very comfortable,5,Moderate understanding,3,Specialized training/expertise,5,4,5,5,4,4,2,3,4,4,5,4,4,4,5,3,4,5,5,2,4,5,5,5,4,5,5,5,5,5,5,4.222222222222222,4.9,5.0,4.222222222222222,High Preference,High Understanding
Nurse Practitioner in Emergency Department,6-10 years,8.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,4,3,3,3,4,1,4,4,2,4,1,1,3,1,1,5,3,2,5,2,3,5,5,4,3,3,5,3,3,4,3.4444444444444446,3.8,2.577916666666667,1.7777777777777777,Low Preference,Low Understanding
Nurse Practitioner in Emergency Department,1-5 years,3.0,None of the above,0,Never,0,Somewhat uncomfortable,2,No understanding,1,No training,1,2,4,3,2,3,1,4,4,4,4,2,3,2,1,2,2,3,3,4,1,4,4,4,5,4,4,1,5,4,5,3.3333333333333335,4.3,2.7279166666666668,2.111111111111111,High Preference,Low Understanding
Emergency Department Nurse,11-15 years,13.0,"EHR with embedded AI, AI-based diagnostic tools, Computerized triage systems, Automated risk scoring systems",4,Regularly,3,Somewhat comfortable,4,Moderate understanding,3,Brief introduction/overview,2,4,4,4,4,4,2,2,4,3,4,5,3,4,5,2,3,3,4,1,5,5,5,4,5,5,5,5,4,4,5,3.6666666666666665,4.4,3.7079166666666667,3.6666666666666665,High Preference,High Understanding
Nurse Practitioner in Emergency Department,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,Limited understanding,2,Brief introduction/overview,2,3,4,5,4,3,2,4,4,3,4,1,2,4,3,1,1,5,4,3,3,5,4,5,5,4,5,4,3,4,5,3.7777777777777777,4.6,4.484583333333333,2.6666666666666665,High Preference,Low Understanding
Emergency Medicine Physician,11-15 years,13.0,"EHR with embedded AI, Automated risk scoring systems, AI-based diagnostic tools",3,Occasionally,2,Somewhat uncomfortable,2,Limited understanding,2,Brief introduction/overview,2,3,4,3,3,3,1,3,3,3,3,2,3,3,1,1,2,4,3,3,2,5,5,5,4,4,3,5,3,5,5,3.111111111111111,4.4,3.474583333333334,2.3333333333333335,High Preference,Low Understanding
Emergency Medicine Physician,6-10 years,8.0,"Computerized triage systems, EHR with embedded AI, Automated risk scoring systems",3,Regularly,3,Neutral,3,Excellent understanding,5,Specialized training/expertise,5,3,4,5,2,4,2,4,4,5,3,3,4,4,4,1,3,5,5,2,4,4,5,5,4,5,5,5,4,5,5,3.7777777777777777,4.7,4.897916666666667,3.6666666666666665,High Preference,High Understanding
